fsqID,venueName,formattedAddress,catID,catName,catIDGroup,distance,rating,totalRatings,totalPhotos,totalTips,popularity,price,storeVerified,stationIndex
4b5138a2f964a520cc4727e3,Market Street Steakhouse,"1777 Market St, Redding, CA 96001",13383,Steakhouse,Dining and Drinking,188,8.7,14.0,12.0,6.0,0.9664246823956443,3.0,False,0
581ccd7f0d63b178d22e9e54,Theory Collaborative,"1250 California St, Redding, CA 96001",13034,Café,Dining and Drinking,818,8.9,35.0,34.0,4.0,0.9785238959467635,1.0,True,0
4b636603f964a520ff762ae3,Taqueria Los Gordos,"1400 Pine St (Tehama), Redding, CA 96001",13099,Chinese Restaurant,Dining and Drinking,621,8.1,28.0,15.0,13.0,0.9652147610405324,2.0,False,0
5a110c7f0fe7a07167d2f62f,Taste & See Creamery,"1419 Market St, Redding, CA 96001",13046,Ice Cream Parlor,Dining and Drinking,579,8.0,9.0,11.0,1.0,0.9745916515426497,1.0,False,0
4bf3009298ac0f47ad6262a8,Damburger,"1320 Placer St, Redding, CA 96001",13031,Burger Joint,Dining and Drinking,309,7.2,27.0,8.0,10.0,0.962265577737447,1.0,True,0
4bfd76e4bf6576b08551adb8,Wienerschnitzel,"1120 Market St, Redding, CA 96001",13058,Hot Dog Joint,Dining and Drinking,972,7.6,12.0,44.0,1.0,0.9872202056866304,1.0,False,0
4b70bed9f964a520b32c2de3,Jack's Grill,"1743 California St (at Placer St), Redding, CA 96001",13383,Steakhouse,Dining and Drinking,240,6.7,24.0,10.0,8.0,0.9461584996975196,4.0,False,0
5839cf23424f9379715e5abb,Final Draft Brewi,"1600 California St, Redding, CA 96001",13003,Bar,Dining and Drinking,345,6.7,16.0,56.0,6.0,0.9734573502722323,2.0,True,0
4c4de42cdb2c20a1629d9273,Thai Cafe,"820 Butte St, Redding, CA 96001",13352,Thai Restaurant,Dining and Drinking,867,7.0,15.0,10.0,7.0,0.940260133091349,2.0,False,0
4c8ba29052a98cfa7caf37e9,Heavenly Donuts,"1313 Shasta St, Redding, CA 96001",13001,Bagel Shop,Dining and Drinking,728,6.9,10.0,19.0,2.0,0.9730792498487598,1.0,False,0
5e35b39d927f370008489acd,Roots Juice Bar,"1950 Pine St, Redding, CA 96001",13000,Dining and Drinking,Dining and Drinking,66,,,,,0.9633998790078645,1.0,False,0
e0cc2da09c054ca134a7a380,Pasta Pronto,"2151 Market St, Redding, CA 96001",13064,Pizzeria,Dining and Drinking,242,,,,,0.46400483968542044,1.0,False,0
65a9c9ede0724622a03573df,Pourboys Tapyard,"2040 Waldon St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,250,,,,,0.9594676346037507,,False,0
5d24e2d44dcbca002fc6c660,Cedar Crest Brewing,"1475 Placer St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,268,,,,,0.9491833030852994,2.0,False,0
5f70ff3b99b067634136954c,Fusion Lounge,"1545 Placer St, Redding, CA 96001",13000,Dining and Drinking,Dining and Drinking,311,,,,,0.9367816091954023,,False,0
5cba77b2234724002b3959ee,The Park Food Truck Hub,"1552 Placer St, Redding, CA 96001",13065,Restaurant,Dining and Drinking,366,,,,,0.897005444646098,1.0,False,0
4ed18ea329c223f92a522f3a,The Grape Escape,"1747 Market St, Redding, CA 96001",10039,Music Venue,Arts and Entertainment,388,,,,,0.8840744101633394,2.0,False,0
5dba05a6db21db00086bd90f,Westside Wines & Hops,"1321 Butte St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,484,,,,,0.9016938898971567,2.0,False,0
4b75c0d6f964a5201d222ee3,Carnegies,"1600 Oregon St, Redding, CA 96001",13068,American Restaurant,Dining and Drinking,511,,,,,0.9730036297640653,1.0,False,0
58b9c69fd772f97a40339388,Caffé Pagato,"1031 Butte St, Redding, CA 96001",13034,Café,Dining and Drinking,644,,,,,0.9754990925589837,1.0,False,0
8450b912f6e64c1b18cd502c,Agana Tropics,"2555 S Market St, Redding, CA 96001",13003,Bar,Dining and Drinking,808,,,,,0.10450695704779189,2.0,False,0
4d9ff070c41ca143fd273da3,The Tropics,"2555 S Market St, Redding, CA 96001",13010,Dive Bar,Dining and Drinking,813,,,,,0.9596944948578342,1.0,False,0
086ef0913cf446afcdfe97cf,Redding Recreation,"1250 Parkview Ave, Redding, CA 96001",16032,Park,Landmarks and Outdoors,666,,,,,,,False,0
2adfc7970cec4603640c28e2,Old City Hall Arts Center,"1313 Market St, Redding, CA 96001",16026,Monument,Landmarks and Outdoors,715,,,,,,,False,0
59692af407c9eae008601caf,Charlew's Tap House,"1177 Shasta St, Redding, CA 96001",13006,Beer Bar,Dining and Drinking,761,,,,,,,False,0
d1c9f6f6be2b44e7fd22fe51,La Tour Demonstration Forest,"875 Cypress Ave, Redding, CA 96001",16032,Park,Landmarks and Outdoors,764,,,,,,,False,0
3fafb4f24ea54fa28cadeac4,From The Hearth Bakery & Cafe,"1279 Pine St, Redding, CA 96001",13002,Bakery,Dining and Drinking,784,,,,,,,False,0
898ebebb75f0f1a08fc64815,Canelo's,"2605 S Market St, Redding, CA 96001",13065,Restaurant,Dining and Drinking,812,,,,,,,False,0
ec187df965fd4e6c697f5c64,Little Sprouts Urban Farm,"1022 State St, Redding, CA 96001",16014,Farm,Landmarks and Outdoors,931,,,,,,,False,0
4b5138a2f964a520cc4727e3,Market Street Steakhouse,"1777 Market St, Redding, CA 96001",13383,Steakhouse,Dining and Drinking,224,8.7,14.0,12.0,6.0,0.9664246823956443,3.0,False,1
581ccd7f0d63b178d22e9e54,Theory Collaborative,"1250 California St, Redding, CA 96001",13034,Café,Dining and Drinking,418,8.9,35.0,34.0,4.0,0.9785238959467635,1.0,True,1
