YelpID,venueName,displayAddress,distance,rating,reviewCount,price,stationIndex,category,totalVenues
rgvwGrdnSPGdw92xypeHmg,Roots Juice Bar,"['1950 Pine St', 'Redding, CA 96001']",65.81092730022333,4.4,62,,0,restaurants,58
ne7W5PUvgTMQklonrZixcg,El Shastaquero,"['1459 GOLD STREET', 'Redding, CA 96001']",118.91964730412597,4.5,2,,0,restaurants,58
p64KyCAQO5fPTbmERIlQ0w,The Crepe Escape Redding,"['1824 Pine St', 'Redding, CA 96001']",140.11917416807532,4.7,69,,0,restaurants,58
ra2RMICvesVSYbZSz3asRw,Vintage Public House,"['1790 Market St', 'Redding, CA 96001']",178.38892497132832,4.1,232,2.0,0,restaurants,58
nd7wlihGZ5hm01aaqJhHPg,Market Street Blade And Barrel,"['1777 Market St', 'Redding, CA 96001']",189.25959975710785,3.6,241,3.0,0,restaurants,58
O7FWL986cfUGAD9WKikqRQ,Downtown Bar & Grill,"['1724 Market St', 'Redding, CA 96001']",228.1590740561135,3.6,46,2.0,0,restaurants,58
duB-_DTA-XX_vlvVJcZ4cg,The Original Arnold's,"['1724 Market St', 'Redding, CA 96001']",231.1606295609394,4.2,71,2.0,0,restaurants,58
UXPkQGuZ6u71z36rbluYcA,Fratelli's Pizza Parlor,"['1774 California St', 'Redding, CA 96001']",236.12448709384915,4.2,121,2.0,0,restaurants,58
88T3JMsvcBUNdVJtV_RBZw,Jack's Grill,"['1743 California St', 'Redding, CA 96001']",242.29471535122445,3.8,408,3.0,0,restaurants,58
A3woxNjoRRyc1Vg-d3XuGA,Pasta Pronto,"['2151 Market St', 'Redding, CA 96003']",244.37363378441347,3.5,102,1.0,0,restaurants,58
LLND8CNRnx5masv_txy0jg,Raliberto's Taco Shop,"['1701 California St', 'Redding, CA 96001']",267.3469483646462,2.3,12,,0,restaurants,58
OXkOnrjH6Cndzl9hC0ckBA,Raliberto's,"['1701 California St', 'Redding, CA 96001']",268.69971239868386,1.0,1,,0,restaurants,58
8Ck4JUkafRV3i7uOiDK9fQ,Taroko Asian Bar And Grill,"['1701 Pine St', 'Redding, CA 96001']",282.8501497838755,4.2,161,2.0,0,restaurants,58
wpt1YhNWei2CBy6HvCeHLw,Amazing Alheri,"['1440 Placer St', 'Redding, CA 96001']",297.03400413881457,5.0,1,,0,restaurants,58
KEzT40noe_gt2afArlZCxQ,Damburger,"['1320 Placer St', 'Redding, CA 96001']",298.24615248111115,4.0,167,2.0,0,restaurants,58
AePMatI_NRGHPMcs4aIWhg,Fusion Lounge Bar & Grill,"['1545 Placer St', 'Redding, CA 96001']",317.56471738896704,4.2,187,2.0,0,restaurants,58
FxW3Tkv6W4_7JElSXfCvlA,Trendy's,"['1730 Gold St', 'Redding, CA 96001']",343.21006623424483,4.6,829,2.0,0,restaurants,58
bRyY-4re52Pg-IFpQBY2BQ,Final Draft Brewing Company,"['1600 California St', 'Redding, CA 96001']",344.25259540946996,4.1,753,2.0,0,restaurants,58
Sz1jiJT4b_bE-KNX7S37CA,Post Office Saloon & Grill,"['1636 Market St', 'Downtown Redding Mall', 'Redding, CA 96001']",360.9520787126915,4.2,81,2.0,0,restaurants,58
iL3NvT9D-qWaEUWFy6mMpQ,Lulu's Eating & Drinking Establishment,"['2230 Pine St', 'Redding, CA 96001']",376.30054919369337,3.8,163,2.0,0,restaurants,58
RsMGLH5HER2HSU8czQ-q8A,Cafe Paradisio,"['1270 Yuba St', 'Redding, CA 96001']",437.6332484366936,4.1,255,2.0,0,restaurants,58
AScA5UeQeoe0yZ9n6dhOOQ,Court Street Eats,"['1718 Placer St', 'Redding, CA 96001']",477.3843319868743,4.3,19,,0,restaurants,58
VOcBCydwzOnPX_LBMZm-UQ,Hot Diggity Dog,"['Yuba St And Oregon St', 'Redding, CA 96001']",510.0127737898681,3.7,3,1.0,0,restaurants,58
7-HRKjs2JGn5FNo9i9NnrA,Carnegie's,"['1600 Oregon St', 'Redding, CA 96001']",515.4859348093158,3.8,82,2.0,0,restaurants,58
SnrbsFVHs79kteTG-kxv9A,The Lost Era,"['1350 Butte St', 'Redding, CA 96001']",527.3277951318004,5.0,2,,0,restaurants,58
My80Rm5V_KycXYwQGUUDRw,Corbett's Restaurant,"['1455 Pine St', 'Redding, CA 96001']",547.9427166142482,3.9,184,2.0,0,restaurants,58
2xOc1-oxmU5KljRxzoc8Mw,From the Hearth Kitchen & Pie Shop - Redding,"['1427 Market St', 'Redding, CA 96001']",570.8009404518572,4.0,114,2.0,0,restaurants,58
TzqzueZCJaotGBw7yWnmCA,Cinders Wood Fired Pizza,"['1415 Market St', 'Redding, CA 96001']",578.2525393619127,4.3,598,2.0,0,restaurants,58
IxCDXj-7iQiLzir7G5FpOw,Sandwichery,"['1341 Tehama St', 'Redding, CA 96001']",617.2152960718497,4.6,130,1.0,0,restaurants,58
LBmlc31lc_EyxRz62aTU-g,Caffé Pagato,"['1031 Butte St', 'Redding, CA 96001']",633.9783798641482,4.6,94,1.0,0,restaurants,58
0hTkYJLt-blOJUqZOyLiFg,Taqueria Los Gordos,"['1400 Pine St', 'Redding, CA 96001']",634.258183363426,4.1,185,1.0,0,restaurants,58
vvPO574nUH3ZMGATTlYTEQ,Squire Room,"['1336 Tehama St', 'Redding, CA 96001']",647.9879112448857,3.7,12,1.0,0,restaurants,58
wrEp_x2pIouXbOqWDsX7EQ,La Cabana,"['1335 Market St', 'Redding, CA 96001']",660.9828798808007,4.2,203,1.0,0,restaurants,58
09CmaQKclHxjCk6xX8eSfw,Maxwells Eatery,"['1344 Market St', 'Redding, CA 96001']",682.3103725674415,4.1,271,2.0,0,restaurants,58
mMS0a-5Um_yHwZ2npbJnIQ,Odell Craft Barbecue,"['1300 Market St', 'Ste 102', 'Redding, CA 96001']",717.6725190638462,4.9,26,,0,restaurants,58
gSSxGLA8LyztK595j2zxqA,Kobe Seafood & Steakhouse,"['1300 Market St', 'Ste 101', 'Redding, CA 96001']",717.6725190638462,3.3,398,3.0,0,restaurants,58
Zl8mIuxqycKlX3onXvSmAQ,Parkview Cafe,"['1100 Parkview Ave', 'Redding, CA 96001']",752.3797034250578,2.0,1,,0,restaurants,58
m4kUD4Ng_VgVwd2qpSkd1g,Deja Vu,"['1177 Shasta St', 'Redding, CA 96001']",762.3377849690625,4.3,476,2.0,0,restaurants,58
N9UPllc-jLWun7MhYFIzAw,From The Hearth Express,"['1279 Pine St', 'Redding, CA 96001']",789.365648261966,3.8,60,2.0,0,restaurants,58
6lZW2F8ZfNbrYaQIyQBCRA,Canelo’s,"['2605 S Market St', 'Redding, CA 96001']",813.616373309648,4.8,79,,0,restaurants,58
hpA2IIJs60o7bMOEisCT_Q,Hermano’s,"['2605 S Market St', 'Redding, CA 96001']",814.4415074626169,4.9,8,,0,restaurants,58
